,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
Wilt Chamberlain,,0,,,,,,1,2,0.500,,,,,,,,,1,
Paul Arizin,,7,,,,,,5,,,,,,,,,,,19,
Joe Fulks,,3,,,,,,,,,,,,,,,,,6,
Jim Pollard,,5,,,,,,,,,,,,,,,,1,10,
Elgin Baylor,,3,,,,,,2,2,1.000,,,,,,,,,8,
Tom Gola,,1,,,,,,0,0,,,,,,,,,,2,
Bill Sharman,,5,,,,,,4,,,,,,,,,,3,14,
Bill Russell,,1,,,,,,1,1,1.000,,,,,,,,,3,
Dolph Schayes,,0,,,,,,2,2,1.000,,,,,,,,,2,
Bob Cousy,,0,,,,,,0,0,,,,,,,,,,0,
Bob Pettit,,5,,,,,,3,4,0.750,,,,,,,,,13,
George Mikan,,4,,,,,,2,3,0.667,,,,,,,,3,10,
Kobe Bryant,42,22,50,0.440,6,21,0.286,10,12,0.833,0,4,4,4,1,1,2,1,60,
